IDconsumidor,Genero,Idoso,Casado,Dependentes,Tempo_como_Cliente,Servico_Telefonia,Servico_Internet,Servico_Seguranca,Suporte_Tecnico,TV_assinatura,Tipo_Contrato,Metodo_Pagamento,Pagamento_Mensal,Total_Pago,Churn
7310-EGVHZ,Male,0,No,No,1,Yes,No,No internet service,No internet service,No internet service,Month-to-month,Bank transfer (automatic),65.60756321839081,20.2,0.0
3413-BMNZE,Male,1,No,No,1,Yes,DSL,No,No,No,Month-to-month,Bank transfer (automatic),65.60756321839081,45.25,0.0
6234-RAAPL,Female,0,Yes,Yes,72,Yes,Fiber optic,Yes,Yes,Yes,Two year,Bank transfer (automatic),65.60756321839081,7251.7,0.0
6047-YHPVI,Male,0,No,No,5,Yes,Fiber optic,No,No,No,Month-to-month,Electronic check,65.60756321839081,316.9,1.0
6572-ADKRS,Female,0,No,No,46,Yes,Fiber optic,No,No,No,Month-to-month,Credit card (automatic),65.60756321839081,3548.3,0.0
5380-WJKOV,Male,0,No,No,34,Yes,Fiber optic,No,No,Yes,Month-to-month,Electronic check,65.60756321839081,3549.25,1.0
8168-UQWWF,Female,0,No,No,11,Yes,Fiber optic,No,No,Yes,Month-to-month,Bank transfer (automatic),65.60756321839081,1105.4,1.0
8865-TNMNX,Male,0,Yes,Yes,10,Yes,DSL,No,No,No,One year,Mailed check,65.60756321839081,475.7,0.0
9489-DEDVP,Female,0,Yes,Yes,70,Yes,DSL,Yes,No,Yes,Two year,Credit card (automatic),65.60756321839081,4872.35,0.0
9867-JCZSP,Female,0,Yes,Yes,17,Yes,No,No internet service,No internet service,No internet service,One year,Mailed check,65.60756321839081,418.25,0.0
4671-VJLCL,Female,0,No,No,63,Yes,DSL,Yes,Yes,Yes,Two year,Credit card (automatic),65.60756321839081,4861.45,0.0
4080-IIARD,Female,0,Yes,No,13,Yes,DSL,Yes,Yes,Yes,Month-to-month,Electronic check,65.60756321839081,981.45,0.0
3714-NTNFO,Female,0,No,No,49,Yes,Fiber optic,No,No,No,Month-to-month,Electronic check,65.60756321839081,3906.7,0.0
5948-UJZLF,Male,0,No,No,2,Yes,DSL,No,No,No,Month-to-month,Mailed check,65.60756321839081,97.0,0.0
7760-OYPDY,Female,0,No,No,2,Yes,Fiber optic,No,No,Yes,Month-to-month,Electronic check,65.60756321839081,144.15,1.0
7639-LIAYI,Male,0,No,No,52,Yes,DSL,Yes,Yes,Yes,Two year,Credit card (automatic),65.60756321839081,4217.8,0.0
2954-PIBKO,Female,0,Yes,Yes,69,Yes,DSL,Yes,Yes,No,Two year,Credit card (automatic),65.60756321839081,4254.1,0.0
8012-SOUDQ,Female,1,No,No,43,Yes,Fiber optic,No,No,Yes,Month-to-month,Electronic check,65.60756321839081,3838.75,0.0
9420-LOJKX,Female,0,No,No,15,Yes,Fiber optic,Yes,No,Yes,Month-to-month,Credit card (automatic),65.60756321839081,1426.4,1.0
6575-SUVOI,Female,1,Yes,No,25,Yes,DSL,Yes,Yes,Yes,Month-to-month,Credit card (automatic),65.60756321839081,1752.65,0.0
7495-OOKFY,Female,1,Yes,No,8,Yes,Fiber optic,No,No,No,Month-to-month,Credit card (automatic),65.60756321839081,633.3,1.0
4667-QONEA,Female,1,Yes,Yes,60,Yes,DSL,Yes,Yes,No,One year,Credit card (automatic),65.60756321839081,4456.35,0.0
1658-BYGOY,Male,1,No,No,18,Yes,Fiber optic,No,No,Yes,Month-to-month,Electronic check,65.60756321839081,1752.55,1.0
8769-KKTPH,Female,0,Yes,Yes,63,Yes,Fiber optic,Yes,No,Yes,One year,Credit card (automatic),65.60756321839081,6311.2,0.0
5067-XJQFU,Male,1,Yes,Yes,66,Yes,Fiber optic,No,Yes,Yes,One year,Electronic check,65.60756321839081,7076.35,0.0
3957-SQXML,Female,0,Yes,Yes,34,Yes,No,No internet service,No internet service,No internet service,Two year,Credit card (automatic),65.60756321839081,894.3,0.0
5954-BDFSG,Female,0,No,No,72,Yes,Fiber optic,No,Yes,Yes,Two year,Credit card (automatic),65.60756321839081,7853.7,0.0
0434-CSFON,Female,0,Yes,No,47,Yes,Fiber optic,No,No,Yes,Month-to-month,Electronic check,65.60756321839081,4707.1,0.0
1215-FIGMP,Male,0,No,No,60,Yes,Fiber optic,No,No,Yes,Month-to-month,Bank transfer (automatic),65.60756321839081,5450.7,0.0
0526-SXDJP,Male,0,Yes,No,72,No,DSL,Yes,No,No,Two year,Bank transfer (automatic),65.60756321839081,2962.0,0.0
0557-ASKVU,Female,0,Yes,Yes,18,Yes,DSL,No,Yes,No,One year,Credit card (automatic),65.60756321839081,957.1,0.0
5698-BQJOH,Female,0,No,No,9,Yes,Fiber optic,No,No,Yes,Month-to-month,Electronic check,65.60756321839081,857.25,1.0
5122-CYFXA,Female,0,No,No,3,Yes,DSL,No,Yes,Yes,Month-to-month,Electronic check,65.60756321839081,244.1,0.0
8627-ZYGSZ,Male,0,Yes,No,47,Yes,Fiber optic,No,No,No,One year,Electronic check,65.60756321839081,3650.35,0.0
3410-YOQBQ,Female,0,No,No,31,Yes,DSL,No,Yes,Yes,Two year,Mailed check,65.60756321839081,2497.2,0.0
3170-NMYVV,Female,0,Yes,Yes,50,Yes,No,No internet service,No internet service,No internet service,Two year,Bank transfer (automatic),65.60756321839081,930.9,0.0
7410-OIEDU,Male,0,No,No,10,Yes,Fiber optic,Yes,No,No,Month-to-month,Mailed check,65.60756321839081,887.35,0.0
2273-QCKXA,Male,0,No,No,1,Yes,DSL,No,Yes,No,Month-to-month,Mailed check,65.60756321839081,49.05,0.0
0731-EBJQB,Female,0,Yes,Yes,52,Yes,No,No internet service,No internet service,No internet service,One year,Electronic check,65.60756321839081,1090.65,0.0
1891-QRQSA,Male,1,Yes,Yes,64,Yes,Fiber optic,Yes,Yes,Yes,Two year,Bank transfer (automatic),65.60756321839081,7099.0,0.0
8028-PNXHQ,Male,0,Yes,Yes,62,Yes,No,No internet service,No internet service,No internet service,Two year,Bank transfer (automatic),65.60756321839081,1424.6,0.0
5630-AHZIL,Female,0,No,Yes,3,Yes,DSL,Yes,Yes,No,Month-to-month,Bank transfer (automatic),65.60756321839081,177.4,0.0
2673-CXQEU,Female,1,No,No,56,Yes,Fiber optic,Yes,No,Yes,One year,Electronic check,65.60756321839081,6139.5,0.0
6416-JNVRK,Female,0,No,No,46,Yes,DSL,No,No,No,One year,Credit card (automatic),65.60756321839081,2688.85,0.0
5590-ZSKRV,Female,0,Yes,Yes,8,Yes,DSL,Yes,No,No,Month-to-month,Mailed check,65.60756321839081,482.25,0.0
0191-ZHSKZ,Male,1,No,No,30,Yes,DSL,Yes,No,Yes,Month-to-month,Electronic check,65.60756321839081,2111.3,0.0
3887-PBQAO,Female,0,Yes,Yes,45,Yes,No,No internet service,No internet service,No internet service,One year,Credit card (automatic),65.60756321839081,1216.6,0.0
5919-TMRGD,Female,0,No,Yes,1,Yes,Fiber optic,No,No,Yes,Month-to-month,Electronic check,65.60756321839081,79.35,1.0
8108-UXRQN,Female,0,Yes,Yes,11,No,DSL,Yes,No,Yes,Month-to-month,Electronic check,65.60756321839081,565.35,0.0
9191-MYQKX,Female,0,Yes,No,7,Yes,Fiber optic,No,No,No,Month-to-month,Bank transfer (automatic),65.60756321839081,496.9,1.0
9919-YLNNG,Female,0,No,No,42,Yes,Fiber optic,No,Yes,Yes,Month-to-month,Bank transfer (automatic),65.60756321839081,4327.5,0.0
0318-ZOPWS,Female,0,Yes,No,49,Yes,No,No internet service,No internet service,No internet service,Two year,Bank transfer (automatic),65.60756321839081,973.35,0.0
4445-ZJNMU,Male,0,No,No,9,Yes,Fiber optic,No,No,Yes,Month-to-month,Credit card (automatic),65.60756321839081,918.75,0.0
4808-YNLEU,Female,0,Yes,No,35,Yes,DSL,Yes,No,Yes,One year,Bank transfer (automatic),65.60756321839081,2215.45,0.0
1862-QRWPE,Female,0,Yes,Yes,48,Yes,No,No internet service,No internet service,No internet service,Two year,Bank transfer (automatic),65.60756321839081,1057.0,0.0
2796-NNUFI,Female,0,Yes,Yes,46,Yes,No,No internet service,No internet service,No internet service,Two year,Mailed check,65.60756321839081,927.1,0.0
3016-KSVCP,Male,0,Yes,No,29,No,DSL,No,No,Yes,Month-to-month,Mailed check,65.60756321839081,1009.25,0.0
4767-HZZHQ,Male,0,Yes,Yes,30,Yes,Fiber optic,No,No,No,Month-to-month,Bank transfer (automatic),65.60756321839081,2570.2,0.0
2424-WVHPL,Male,1,No,No,1,Yes,Fiber optic,No,Yes,No,Month-to-month,Electronic check,65.60756321839081,74.7,0.0
7233-PAHHL,Male,0,Yes,Yes,66,Yes,DSL,Yes,Yes,Yes,Two year,Mailed check,65.60756321839081,5714.25,0.0
6067-NGCEU,Female,0,No,No,65,Yes,Fiber optic,Yes,No,Yes,Month-to-month,Credit card (automatic),65.60756321839081,7107.0,0.0
9848-JQJTX,Male,0,No,No,72,Yes,Fiber optic,No,No,Yes,Two year,Bank transfer (automatic),65.60756321839081,7459.05,0.0
8637-XJIVR,Female,0,No,No,12,Yes,Fiber optic,Yes,No,No,Month-to-month,Electronic check,65.60756321839081,927.35,1.0
9803-FTJCG,Male,0,Yes,Yes,71,Yes,DSL,Yes,Yes,No,One year,Credit card (automatic),65.60756321839081,4748.7,0.0
0278-YXOOG,Male,0,No,No,5,Yes,No,No internet service,No internet service,No internet service,Month-to-month,Mailed check,65.60756321839081,113.85,1.0
3212-KXOCR,Male,0,No,No,52,Yes,No,No internet service,No internet service,No internet service,Two year,Bank transfer (automatic),65.60756321839081,1107.2,0.0
4598-XLKNJ,Female,1,Yes,No,25,Yes,Fiber optic,No,No,Yes,Month-to-month,Electronic check,65.60756321839081,2514.5,1.0
6380-ARCEH,Male,0,No,No,1,Yes,No,No internet service,No internet service,No internet service,Month-to-month,Mailed check,65.60756321839081,20.2,0.0
3679-XASPY,Female,0,Yes,Yes,1,Yes,No,No internet service,No internet service,No internet service,Month-to-month,Electronic check,65.60756321839081,19.45,0.0
7123-WQUHX,Male,0,No,No,38,Yes,Fiber optic,No,Yes,Yes,One year,Bank transfer (automatic),65.60756321839081,3605.6,0.0
5386-THSLQ,Female,1,Yes,No,66,No,DSL,No,No,Yes,One year,Bank transfer (automatic),65.60756321839081,3027.25,0.0
3192-NQECA,Male,0,Yes,No,68,Yes,Fiber optic,No,Yes,Yes,Two year,Bank transfer (automatic),65.60756321839081,7611.85,1.0
6180-YBIQI,Male,0,No,No,5,No,DSL,No,No,No,Month-to-month,Mailed check,65.60756321839081,100.2,0.0
6728-DKUCO,Female,0,Yes,Yes,72,Yes,Fiber optic,Yes,No,Yes,One year,Electronic check,65.60756321839081,7303.05,0.0
9750-BOOHV,Female,0,No,No,32,No,DSL,Yes,No,No,One year,Mailed check,65.60756321839081,927.65,0.0
8597-CWYHH,Male,0,No,No,43,Yes,Fiber optic,No,No,Yes,One year,Mailed check,65.60756321839081,3921.3,0.0
2848-YXSMW,Male,0,Yes,Yes,72,Yes,No,No internet service,No internet service,No internet service,Two year,Credit card (automatic),65.60756321839081,1363.25,0.0
0486-HECZI,Male,0,Yes,No,55,Yes,Fiber optic,Yes,No,Yes,Month-to-month,Electronic check,65.60756321839081,5238.9,1.0
4549-ZDQYY,Female,0,No,No,52,Yes,DSL,Yes,Yes,No,One year,Credit card (automatic),65.60756321839081,3042.25,0.0
5712-AHQNN,Female,0,No,No,43,Yes,Fiber optic,No,No,Yes,Month-to-month,Electronic check,65.60756321839081,3954.1,0.0
4846-WHAFZ,Female,1,Yes,No,37,Yes,Fiber optic,No,No,No,Month-to-month,Electronic check,65.60756321839081,2868.15,1.0
5256-SKJGO,Female,0,Yes,Yes,64,No,DSL,No,Yes,Yes,Two year,Electronic check,65.60756321839081,3423.5,0.0
3071-VBYPO,Male,0,Yes,Yes,3,Yes,Fiber optic,Yes,No,Yes,Month-to-month,Electronic check,65.60756321839081,248.4,0.0
9560-BBZXK,Female,0,No,No,36,No,DSL,Yes,No,No,Two year,Bank transfer (automatic),65.60756321839081,1126.35,0.0
5299-RULOA,Female,0,Yes,Yes,10,Yes,Fiber optic,Yes,No,Yes,Month-to-month,Electronic check,65.60756321839081,1064.65,1.0
8402-OOOHJ,Female,0,No,No,41,Yes,No,No internet service,No internet service,No internet service,Two year,Mailed check,65.60756321839081,835.15,0.0
9445-ZUEQE,Male,0,Yes,Yes,27,Yes,Fiber optic,No,Yes,No,Month-to-month,Credit card (automatic),65.60756321839081,2151.6,0.0
1091-SOZGA,Female,0,Yes,Yes,56,Yes,Fiber optic,No,No,Yes,One year,Credit card (automatic),65.60756321839081,5515.45,0.0
2928-HLDBA,Female,0,No,No,6,Yes,No,No internet service,No internet service,No internet service,Month-to-month,Mailed check,65.60756321839081,112.75,0.0
0404-SWRVG,Male,0,No,No,3,Yes,Fiber optic,No,No,No,Month-to-month,Electronic check,65.60756321839081,229.55,1.0
6497-TILVL,Female,0,Yes,Yes,7,Yes,DSL,Yes,No,No,Month-to-month,Mailed check,65.60756321839081,350.35,0.0
7219-TLZHO,Female,0,Yes,Yes,4,Yes,No,No internet service,No internet service,No internet service,Month-to-month,Mailed check,65.60756321839081,62.9,0.0
4622-YNKIJ,Male,0,No,No,33,Yes,Fiber optic,Yes,Yes,Yes,Two year,Electronic check,65.60756321839081,3027.65,0.0
4412-YLTKF,Female,1,No,No,27,Yes,Fiber optic,No,No,No,Month-to-month,Electronic check,65.60756321839081,2135.5,1.0
6734-PSBAW,Male,0,Yes,No,72,Yes,No,No internet service,No internet service,No internet service,Two year,Bank transfer (automatic),65.60756321839081,1723.95,0.0
3930-ZGWVE,Male,0,No,No,1,Yes,No,No internet service,No internet service,No internet service,Month-to-month,Mailed check,65.60756321839081,19.75,0.0
2639-UGMAZ,Male,1,No,No,71,No,DSL,Yes,No,Yes,One year,Electronic check,65.60756321839081,3985.35,0.0
2876-GZYZC,Female,0,No,No,13,Yes,Fiber optic,No,No,No,Month-to-month,Electronic check,65.60756321839081,1215.65,0.0
6207-WIOLX,Female,0,Yes,Yes,25,No,DSL,Yes,No,Yes,Month-to-month,Credit card (automatic),65.60756321839081,1502.65,1.0
8587-XYZSF,Male,0,No,No,67,Yes,DSL,No,Yes,No,Two year,Bank transfer (automatic),65.60756321839081,3260.1,0.0
3091-FYHKI,Male,0,No,No,1,No,DSL,No,No,No,Month-to-month,Electronic check,65.60756321839081,35.45,1.0
2372-HWUHI,Male,0,No,No,2,Yes,DSL,No,No,No,Month-to-month,Electronic check,65.60756321839081,81.25,1.0
7799-LGRDP,Female,0,No,No,43,Yes,No,No internet service,No internet service,No internet service,Two year,Credit card (automatic),65.60756321839081,1188.2,0.0
7850-VWJUU,Female,0,No,No,23,Yes,Fiber optic,Yes,No,No,Month-to-month,Bank transfer (automatic),65.60756321839081,1778.5,0.0
3774-VBNXY,Female,0,Yes,Yes,64,Yes,No,No internet service,No internet service,No internet service,Two year,Mailed check,65.60756321839081,1277.75,0.0
6217-KDYWC,Male,0,No,Yes,57,Yes,No,No internet service,No internet service,No internet service,Two year,Mailed check,65.60756321839081,1170.55,0.0
0390-DCFDQ,Female,1,Yes,No,1,Yes,Fiber optic,No,No,No,Month-to-month,Mailed check,65.60756321839081,70.45,1.0
3146-MSEGF,Female,1,Yes,Yes,72,Yes,DSL,Yes,Yes,Yes,Two year,Credit card (automatic),65.60756321839081,6425.65,0.0
4080-OGPJL,Female,0,No,No,8,Yes,DSL,Yes,Yes,No,Month-to-month,Electronic check,65.60756321839081,563.65,1.0
1095-WGNGG,Female,0,Yes,No,61,Yes,Fiber optic,No,No,Yes,Two year,Bank transfer (automatic),65.60756321839081,5971.25,0.0
2636-SJDOU,Male,0,No,No,64,Yes,Fiber optic,Yes,No,No,One year,Credit card (automatic),65.60756321839081,5289.05,0.0
1131-QQZEB,Male,1,Yes,No,71,Yes,No,No internet service,No internet service,No internet service,Two year,Bank transfer (automatic),65.60756321839081,1756.2,0.0
5716-EZXZN,Female,0,Yes,Yes,65,Yes,Fiber optic,Yes,Yes,Yes,Two year,Credit card (automatic),65.60756321839081,6416.7,0.0
6837-BJYDQ,Male,0,No,No,3,Yes,No,No internet service,No internet service,No internet service,One year,Mailed check,65.60756321839081,61.35,0.0
2135-RXIHG,Male,0,No,No,1,Yes,DSL,No,No,No,Month-to-month,Electronic check,65.60756321839081,45.65,1.0
6440-DKQGE,Male,0,No,Yes,30,Yes,DSL,No,No,Yes,One year,Credit card (automatic),65.60756321839081,1929.95,0.0
3466-BYAVD,Male,0,Yes,Yes,15,Yes,DSL,No,Yes,No,Month-to-month,Mailed check,65.60756321839081,1071.4,0.0
3780-YVMFA,Female,0,Yes,Yes,8,Yes,DSL,No,Yes,Yes,Month-to-month,Electronic check,65.60756321839081,564.35,0.0
3874-EQOEP,Male,0,No,No,7,Yes,Fiber optic,No,No,Yes,Month-to-month,Mailed check,65.60756321839081,655.5,1.0
1679-JRFBR,Female,0,Yes,Yes,70,Yes,Fiber optic,Yes,No,Yes,One year,Credit card (automatic),65.60756321839081,7930.55,0.0
9073-ZZIAY,Male,0,Yes,Yes,62,Yes,DSL,Yes,Yes,Yes,Two year,Electronic check,65.60756321839081,5215.25,0.0
3077-RSNTJ,Female,0,Yes,Yes,6,Yes,No,No internet service,No internet service,No internet service,Month-to-month,Mailed check,65.60756321839081,113.5,0.0
6551-GNYDG,Female,0,Yes,Yes,14,Yes,Fiber optic,No,No,No,Month-to-month,Bank transfer (automatic),65.60756321839081,1152.8,0.0
9167-APMXZ,Female,0,No,No,22,Yes,Fiber optic,No,No,Yes,Month-to-month,Bank transfer (automatic),65.60756321839081,1821.95,0.0
2749-CTKAJ,Male,0,Yes,Yes,22,Yes,No,No internet service,No internet service,No internet service,One year,Mailed check,65.60756321839081,419.9,0.0
6371-NZYEG,Male,0,Yes,Yes,16,Yes,DSL,Yes,No,Yes,Two year,Mailed check,65.60756321839081,1024.0,0.0
7554-NEWDD,Male,0,No,No,10,Yes,No,No internet service,No internet service,No internet service,Two year,Bank transfer (automatic),65.60756321839081,251.6,0.0
8992-VONJD,Female,0,No,Yes,13,Yes,DSL,Yes,No,No,Month-to-month,Electronic check,65.60756321839081,764.55,0.0
0867-MKZVY,Female,0,Yes,No,20,Yes,Fiber optic,Yes,No,No,Month-to-month,Electronic check,65.60756321839081,1592.35,1.0
4482-EWFMI,Female,0,No,No,2,Yes,Fiber optic,No,No,No,Month-to-month,Electronic check,65.60756321839081,135.2,0.0
4648-YPBTM,Male,0,No,No,53,Yes,DSL,No,Yes,No,Two year,Bank transfer (automatic),65.60756321839081,3958.25,0.0
2907-ILJBN,Female,0,Yes,Yes,11,Yes,No,No internet service,No internet service,No internet service,One year,Mailed check,65.60756321839081,233.9,0.0
6345-FZOQH,Male,0,Yes,No,69,Yes,No,No internet service,No internet service,No internet service,Two year,Mailed check,65.60756321839081,1363.45,0.0
3376-BMGFE,Female,0,No,No,4,Yes,Fiber optic,No,No,No,Month-to-month,Bank transfer (automatic),65.60756321839081,273.0,1.0
5997-OPVFA,Male,0,Yes,No,72,Yes,DSL,Yes,Yes,Yes,Two year,Bank transfer (automatic),65.60756321839081,6254.45,0.0
3445-HXXGF,Male,1,Yes,No,58,Yes,DSL,No,No,No,Month-to-month,Electronic check,65.60756321839081,2651.2,1.0
1159-WFSGR,Female,0,Yes,Yes,16,Yes,No,No internet service,No internet service,No internet service,Month-to-month,Electronic check,65.60756321839081,321.4,0.0
7654-YWJUF,Male,0,Yes,No,43,Yes,Fiber optic,Yes,Yes,No,One year,Bank transfer (automatic),65.60756321839081,3539.25,0.0
1875-QIVME,Female,0,Yes,No,2,Yes,Fiber optic,No,Yes,Yes,Month-to-month,Electronic check,65.60756321839081,242.8,1.0
6727-IOTLZ,Male,0,Yes,No,14,Yes,DSL,No,Yes,Yes,Two year,Mailed check,65.60756321839081,1181.75,0.0
0691-JVSYA,Female,0,Yes,No,53,Yes,Fiber optic,No,No,Yes,One year,Bank transfer (automatic),65.60756321839081,5000.2,1.0
5918-VUKWP,Female,0,No,No,32,Yes,No,No internet service,No internet service,No internet service,One year,Bank transfer (automatic),65.60756321839081,654.55,0.0
1744-JHKYS,Female,0,Yes,No,34,Yes,No,No internet service,No internet service,No internet service,Month-to-month,Electronic check,65.60756321839081,780.2,0.0
2656-FMOKZ,Female,1,No,No,15,Yes,Fiber optic,No,No,No,Month-to-month,Mailed check,65.60756321839081,1145.7,1.0
2070-FNEXE,Female,1,No,No,7,Yes,Fiber optic,Yes,No,No,Month-to-month,Bank transfer (automatic),65.60756321839081,503.6,1.0
5947-SGKCL,Female,0,Yes,Yes,15,Yes,Fiber optic,No,No,Yes,Month-to-month,Bank transfer (automatic),65.60756321839081,1559.25,0.0
3712-PKXZA,Male,0,Yes,No,61,Yes,No,No internet service,No internet service,No internet service,One year,Credit card (automatic),65.60756321839081,1252.0,0.0
6317-YPKDH,Female,0,No,No,1,Yes,DSL,No,No,No,Month-to-month,Bank transfer (automatic),65.60756321839081,29.95,1.0
6582-OIVSP,Female,0,No,No,1,Yes,DSL,No,No,No,Month-to-month,Mailed check,65.60756321839081,45.3,0.0
9367-WXLCH,Male,0,No,No,8,Yes,Fiber optic,No,No,No,Month-to-month,Bank transfer (automatic),65.60756321839081,662.65,1.0
5524-KHNJP,Male,0,Yes,Yes,33,Yes,DSL,Yes,No,Yes,One year,Credit card (automatic),65.60756321839081,2453.3,0.0
1918-ZBFQJ,Female,0,No,No,13,Yes,Fiber optic,No,No,No,Month-to-month,Electronic check,65.60756321839081,1111.65,1.0
1024-GUALD,Female,0,Yes,No,1,Yes,DSL,No,No,No,Month-to-month,Electronic check,65.60756321839081,24.8,1.0
4827-USJHP,Male,0,No,No,20,Yes,DSL,No,No,No,Month-to-month,Mailed check,65.60756321839081,1023.85,0.0
8167-GJLRN,Male,0,No,No,3,Yes,DSL,No,Yes,No,Month-to-month,Electronic check,65.60756321839081,82.15,0.0
0956-SYCWG,Female,0,No,No,13,Yes,No,No internet service,No internet service,No internet service,One year,Electronic check,65.60756321839081,244.8,0.0
8017-UVSZU,Female,0,Yes,No,40,Yes,DSL,No,No,No,Month-to-month,Credit card (automatic),65.60756321839081,2379.1,0.0
7100-FQPRV,Male,0,Yes,Yes,43,Yes,DSL,Yes,Yes,No,One year,Credit card (automatic),65.60756321839081,3173.35,0.0
2472-OVKUP,Male,0,Yes,No,6,Yes,Fiber optic,No,No,No,Month-to-month,Electronic check,65.60756321839081,531.0,1.0
2984-RGEYA,Female,0,Yes,Yes,69,Yes,No,No internet service,No internet service,No internet service,Two year,Bank transfer (automatic),65.60756321839081,1375.4,0.0
9680-NIAUV,Female,0,Yes,Yes,72,Yes,Fiber optic,Yes,No,Yes,Two year,Credit card (automatic),65.60756321839081,8129.3,0.0
2146-EGVDT,Male,0,Yes,Yes,59,Yes,No,No internet service,No internet service,No internet service,Two year,Credit card (automatic),65.60756321839081,1192.7,0.0
2604-IJPDU,Female,0,Yes,No,20,Yes,Fiber optic,Yes,Yes,Yes,Month-to-month,Electronic check,65.60756321839081,1901.65,0.0
9178-JHUVJ,Male,0,Yes,Yes,24,Yes,No,No internet service,No internet service,No internet service,Two year,Bank transfer (automatic),65.60756321839081,587.4,0.0
6168-YBYNP,Male,0,No,No,59,Yes,Fiber optic,No,Yes,Yes,Month-to-month,Electronic check,65.60756321839081,6519.75,0.0
7255-SSFBC,Male,0,Yes,Yes,72,Yes,Fiber optic,No,Yes,Yes,Two year,Bank transfer (automatic),65.60756321839081,8041.65,0.0
3645-DEYGF,Male,0,No,Yes,1,Yes,No,No internet service,No internet service,No internet service,Month-to-month,Mailed check,65.60756321839081,20.75,0.0
9323-HGFWY,Female,0,Yes,No,27,Yes,Fiber optic,Yes,Yes,Yes,One year,Credit card (automatic),65.60756321839081,2681.15,0.0
8544-GOQSH,Female,0,No,No,14,Yes,Fiber optic,No,Yes,No,Month-to-month,Credit card (automatic),65.60756321839081,1112.3,0.0
3363-DTIVD,Male,0,Yes,Yes,71,Yes,Fiber optic,Yes,No,Yes,Two year,Electronic check,65.60756321839081,7405.5,0.0
7018-WBJNK,Male,0,No,Yes,13,Yes,Fiber optic,No,No,Yes,Month-to-month,Credit card (automatic),65.60756321839081,1033.95,0.0
9142-KZXOP,Male,0,No,No,44,No,Fiber optic,No,No,No,Month-to-month,Credit card (automatic),65.60756321839081,2958.95,0.0
7674-YTAFD,Female,0,No,No,33,Yes,Fiber optic,No,Yes,No,One year,Bank transfer (automatic),65.60756321839081,2684.85,0.0
6348-SNFUS,Male,0,Yes,Yes,72,Yes,DSL,Yes,Yes,No,Two year,Credit card (automatic),65.60756321839081,4179.2,0.0
